ano,sigla_uf,id_municipio,municipio,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao,posicao_estadual
2023,SE,2801603,Cedro de São João,municipal,fundamental,finais (6-9),97.9,0.982176,264.83,266.15,5.516333,5.4,,1
2023,SE,2803005,Itabaianinha,municipal,fundamental,finais (6-9),92.7,0.927264,261.0,256.15,5.285833,4.9,,2
2023,SE,2806701,São Cristóvão,municipal,fundamental,finais (6-9),96.9,0.970659,237.84,238.62,4.607667,4.5,,3
2023,SE,2802007,Divina Pastora,municipal,fundamental,finais (6-9),95.5,0.953861,232.67,235.63,4.471667,4.3,,4
2023,SE,2803401,Japoatã,municipal,fundamental,finais (6-9),81.7,0.820454,257.79,257.94,5.262167,4.3,,4
2023,SE,2800308,Aracaju,municipal,fundamental,finais (6-9),91.4,0.916523,238.29,245.33,4.727,4.3,,4
2023,SE,2807006,São Miguel do Aleixo,municipal,fundamental,finais (6-9),89.1,0.898765,235.18,250.3,4.758,4.3,,4
2023,SE,2802502,General Maynard,municipal,fundamental,finais (6-9),90.4,0.89504,245.02,227.53,4.5425,4.1,,8
2023,SE,2801306,Capela,municipal,fundamental,finais (6-9),89.4,0.896485,236.52,236.41,4.548833,4.1,,8
2023,SE,2807105,Simão Dias,municipal,fundamental,finais (6-9),82.6,0.833119,242.74,246.14,4.814667,4.0,,10
2023,SE,2803500,Lagarto,municipal,fundamental,finais (6-9),80.9,0.809159,246.1,253.87,4.9995,4.0,,10
2023,SE,2805000,Pedra Mole,municipal,fundamental,finais (6-9),80.3,0.794208,244.48,251.12,4.926667,3.9,,12
2023,SE,2801207,Canindé de São Francisco,municipal,fundamental,finais (6-9),76.4,0.767379,249.45,252.97,5.040333,3.9,,12
2023,SE,2801702,Cristinápolis,municipal,fundamental,finais (6-9),88.0,0.87851,235.51,233.11,4.477,3.9,,12
2023,SE,2806404,Santana do São Francisco,municipal,fundamental,finais (6-9),91.2,0.907464,228.39,229.58,4.2995,3.9,,12
2023,SE,2806909,São Francisco,municipal,fundamental,finais (6-9),82.0,0.824937,237.71,249.3,4.7835,3.9,,12
2023,SE,2807402,Tobias Barreto,municipal,fundamental,finais (6-9),80.9,0.812832,242.34,247.91,4.8375,3.9,,12
2023,SE,2804706,Nossa Senhora de Lourdes,municipal,fundamental,finais (6-9),90.7,0.90432,225.52,236.37,4.364833,3.9,,12
2023,SE,2804805,Nossa Senhora do Socorro,municipal,fundamental,finais (6-9),88.5,0.886427,226.28,234.26,4.342333,3.8,,19
2023,SE,2804508,Nossa Senhora da Glória,municipal,fundamental,finais (6-9),83.1,0.827492,238.61,238.76,4.622833,3.8,,19
2023,SE,2804607,Nossa Senhora das Dores,municipal,fundamental,finais (6-9),84.6,0.846955,234.99,237.44,4.5405,3.8,,19
2023,SE,2806206,Salgado,municipal,fundamental,finais (6-9),84.4,0.8435,236.25,233.35,4.493333,3.8,,19
2023,SE,2803302,Japaratuba,municipal,fundamental,finais (6-9),81.4,0.811582,240.75,242.91,4.727667,3.8,,19
2023,SE,2801108,Canhoba,municipal,fundamental,finais (6-9),83.3,0.846989,230.49,235.58,4.4345,3.8,,19
2023,SE,2802700,Ilha das Flores,municipal,fundamental,finais (6-9),86.0,0.868279,235.96,224.15,4.335167,3.8,,19
2023,SE,2802908,Itabaiana,municipal,fundamental,finais (6-9),79.2,0.799082,240.16,239.77,4.6655,3.7,,26
2023,SE,2806107,Rosário do Catete,municipal,fundamental,finais (6-9),83.9,0.848181,225.91,236.34,4.370833,3.7,,26
2023,SE,2803906,Malhador,municipal,fundamental,finais (6-9),73.4,0.73405,248.24,252.31,5.009167,3.7,,26
2023,SE,2800100,Amparo de São Francisco,municipal,fundamental,finais (6-9),69.1,0.688603,260.37,252.85,5.220333,3.6,,29
2023,SE,2806503,Santa Rosa de Lima,municipal,fundamental,finais (6-9),92.7,0.929302,210.94,224.59,3.9255,3.6,,29
2023,SE,2806602,Santo Amaro das Brotas,municipal,fundamental,finais (6-9),82.1,0.820373,226.79,237.96,4.4125,3.6,,29
2023,SE,2807600,Umbaúba,municipal,fundamental,finais (6-9),77.8,0.78257,234.47,238.68,4.5525,3.6,,29
2023,SE,2802403,Gararu,municipal,fundamental,finais (6-9),77.8,0.773987,239.2,239.13,4.638833,3.6,,29
2023,SE,2804409,Neópolis,municipal,fundamental,finais (6-9),98.6,0.983901,200.46,216.19,3.610833,3.6,,29
2023,SE,2800704,Brejo Grande,municipal,fundamental,finais (6-9),83.2,0.855884,223.73,230.22,4.2325,3.6,,29
2023,SE,2801504,Carmópolis,municipal,fundamental,finais (6-9),88.9,0.89559,220.39,221.17,4.026,3.6,,29
2023,SE,2804201,Monte Alegre de Sergipe,municipal,fundamental,finais (6-9),82.1,0.829714,224.68,234.82,4.325,3.6,,29
2023,SE,2800670,Boquim,municipal,fundamental,finais (6-9),77.1,0.773848,236.46,238.26,4.578667,3.5,,38
2023,SE,2802601,Gracho Cardoso,municipal,fundamental,finais (6-9),83.1,0.840035,223.46,229.0,4.207667,3.5,,38
2023,SE,2804102,Moita Bonita,municipal,fundamental,finais (6-9),71.1,0.707836,245.47,247.57,4.884,3.5,,38
2023,SE,2800407,Arauá,municipal,fundamental,finais (6-9),88.2,0.883325,224.29,216.51,4.013333,3.5,,38
2023,SE,2805604,Porto da Folha,municipal,fundamental,finais (6-9),76.3,0.766102,240.44,231.29,4.528833,3.5,,38
2023,SE,2806305,Santa Luzia do Itanhy,municipal,fundamental,finais (6-9),86.0,0.863864,222.89,220.36,4.054167,3.5,,38
2023,SE,2801405,Carira,municipal,fundamental,finais (6-9),77.1,0.778322,233.49,233.5,4.449833,3.5,,38
2023,SE,2804458,Nossa Senhora Aparecida,municipal,fundamental,finais (6-9),73.6,0.722663,231.29,250.33,4.693667,3.4,,45
2023,SE,2805208,Pinhão,municipal,fundamental,finais (6-9),78.0,0.789217,235.58,221.9,4.291333,3.4,,45
2023,SE,2804904,Pacatuba,municipal,fundamental,finais (6-9),81.0,0.803237,230.49,226.72,4.286833,3.4,,45
2023,SE,2802106,Estância,municipal,fundamental,finais (6-9),78.5,0.783418,229.09,231.76,4.3475,3.4,,45
2023,SE,2801009,Campo do Brito,municipal,fundamental,finais (6-9),68.9,0.710769,239.79,245.69,4.758,3.4,,45
2023,SE,2802809,Indiaroba,municipal,fundamental,finais (6-9),81.4,0.817045,228.88,223.04,4.198667,3.4,,45
2023,SE,2806008,Ribeirópolis,municipal,fundamental,finais (6-9),76.2,0.761829,233.05,233.4,4.440833,3.4,,45
2023,SE,2800605,Barra dos Coqueiros,municipal,fundamental,finais (6-9),79.0,0.786947,230.97,231.46,4.373833,3.4,,45
2023,SE,2803708,Macambira,municipal,fundamental,finais (6-9),73.1,0.725411,235.07,238.37,4.557333,3.3,,53
2023,SE,2803104,Itabi,municipal,fundamental,finais (6-9),81.3,0.820032,225.84,218.09,4.0655,3.3,,53
2023,SE,2800209,Aquidabã,municipal,fundamental,finais (6-9),74.0,0.739363,234.03,233.2,4.453833,3.3,,53
2023,SE,2804300,Muribeca,municipal,fundamental,finais (6-9),82.7,0.825971,218.29,223.96,4.0375,3.3,,53
2023,SE,2804003,Maruim,municipal,fundamental,finais (6-9),75.6,0.760844,227.32,224.16,4.191333,3.2,,57
