ano,sigla_uf,id_municipio,municipio,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao,posicao_estadual,etapa,ranking_seq
2025,SE,2803005,Itabaianinha,municipal,fundamental,finais (6-9),98.9,0.989227,268.91,254.3,5.386833,5.3,,1,Anos finais,1
2025,SE,2801603,Cedro de São João,municipal,fundamental,finais (6-9),97.5,0.975307,253.76,262.64,5.273333,5.1,,2,Anos finais,2
2025,SE,2802700,Ilha das Flores,municipal,fundamental,finais (6-9),98.0,0.980825,257.52,254.25,5.196167,5.1,,2,Anos finais,3
2025,SE,2804102,Moita Bonita,municipal,fundamental,finais (6-9),89.3,0.897807,268.19,264.59,5.546333,5.0,,4,Anos finais,4
2025,SE,2803104,Itabi,municipal,fundamental,finais (6-9),97.5,0.9775,245.36,256.47,5.0305,4.9,,5,Anos finais,5
2025,SE,2806206,Salgado,municipal,fundamental,finais (6-9),96.7,0.968932,246.48,258.52,5.083333,4.9,,5,Anos finais,6
2025,SE,2803401,Japoatã,municipal,fundamental,finais (6-9),89.1,0.897493,254.05,264.32,5.306167,4.8,,7,Anos finais,7
2025,SE,2806701,São Cristóvão,municipal,fundamental,finais (6-9),98.0,0.980686,243.89,246.76,4.844167,4.8,,7,Anos finais,8
2025,SE,2800704,Brejo Grande,municipal,fundamental,finais (6-9),97.8,0.976647,255.76,231.29,4.784167,4.7,,9,Anos finais,9
2025,SE,2803500,Lagarto,municipal,fundamental,finais (6-9),89.3,0.898055,255.47,261.42,5.2815,4.7,,9,Anos finais,10
2025,SE,2804508,Nossa Senhora da Glória,municipal,fundamental,finais (6-9),92.8,0.924271,252.73,250.82,5.059167,4.7,,9,Anos finais,11
2025,SE,2807105,Simão Dias,municipal,fundamental,finais (6-9),93.4,0.936394,255.25,243.82,4.9845,4.7,,9,Anos finais,12
2025,SE,2802502,General Maynard,municipal,fundamental,finais (6-9),100.0,1.0,235.08,239.97,4.584167,4.6,,13,Anos finais,13
2025,SE,2803807,Malhada dos Bois,municipal,fundamental,finais (6-9),99.4,0.992589,240.32,239.18,4.658333,4.6,,13,Anos finais,14
2025,SE,2805000,Pedra Mole,municipal,fundamental,finais (6-9),89.9,0.894365,244.22,261.2,5.090333,4.6,,13,Anos finais,15
2025,SE,2807006,São Miguel do Aleixo,municipal,fundamental,finais (6-9),93.3,0.935685,241.51,254.31,4.930333,4.6,,13,Anos finais,16
